,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,Harvest Year,Grading Date,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Total Cup Points,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
16,Taiwan,牛磨角庄園 Gû Buâ Kak Estate,"2024 Sustainable Specialty Coffee Farm Awards,S003",牛磨角庄園 Gû Buâ Kak Estate,,Taiwan Coffee Laboratory,1200,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳秉汯 CHEN, BING-HONG",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Pulped natural / honey,8.0,8.17,8.0,8.33,8.17,8.08,10.0,10.0,10.0,86.92,0,0.0,greenish,2,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
17,Taiwan,名陽園,C17,名陽園,,Taiwan Coffee Laboratory,1500,嘉義/竹崎鄉,王政淵,1,2 kg,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.17,8.25,8.25,8.0,8.08,8.08,10.0,10.0,10.0,86.92,0,0.0,bluish-green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
18,Vietnam,Công ty TNHH MTV Rẫy Rừng,A203,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1400,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,1500,1 kg,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,"Catimor, TH1, THA1",Natural / Dry,8.33,8.17,8.0,8.17,8.08,8.08,10.0,10.0,10.0,86.92,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
19,"Tanzania, United Republic Of",IYENGA,S71722/P05903,CITY COFFEE LTD,033/DE/725/0018,VOLCAFE/TaylorWinch Tanzania Ltd,1624,Mbeya,IYENGA AMCOS,600,30 kg,2024 / 2025,"October 18th, 2024",Balam Hinyula,Bourbon,Washed / Wet,8.08,8.0,8.17,8.08,8.17,8.17,10.0,10.0,10.0,86.83,0,0.0,green,2,"October 18th, 2025",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
20,Ethiopia,Smallholders,36284,SCFCU mill Addis Ababa,010/0145/0057,Allegro Coffee,1850-2000,Sidama,Shantagolba Cooperative,320,60 kg,2024 / 2025,"March 27th, 2025",Allegro Coffee,Ethiopian Heirlooms,Washed / Wet,8.08,8.08,8.08,8.42,7.92,8.08,10.0,10.0,10.0,86.83,0,1.0,blue-green,4,"March 27th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
21,Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,"1,200-1,300","Doi Saket, Chiangmai",Paranya Nanthakun,1,10 kg,2023 / 2024,"October 29th, 2024",Paranya Nanthakun,Gesha,Natural / Dry,8.42,8.33,8.0,8.08,7.92,7.92,10.0,10.0,10.0,86.83,0,0.0,yellow -green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
22,Vietnam,8Ro Company,A430,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Natural / Dry,8.33,8.17,8.17,8.0,8.17,8.0,10.0,10.0,10.0,86.75,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
23,Ethiopia,Abera Farm,2,Abera washing staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Washed / Wet,7.92,8.08,8.0,8.42,8.08,8.08,10.0,10.0,10.0,86.75,0,0.0,blue-green,1,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
24,Vietnam,Công ty Cổ phần Hạt Rừng,A654,Công ty Cổ phần Hạt Rừng,,THE FOREST BEANS JOINT STOCK COMPANY,1580,"Thôn Trường Sơn, Xã Xuân Trường, Đà Lạt, Lâm Đồng",Nguyễn Hữu Yên,3000,1 kg,2024 / 2025,"July 9th, 2025",Hạt Rừng,Catimor,Washed / Wet,8.25,8.17,7.92,8.17,8.08,8.0,10.0,10.0,10.0,86.75,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
25,Taiwan,仙井咖啡莊園 Xian Jing Estate,"2024 Sustainable Specialty Coffee Farm Awards,S052",仙井咖啡莊園 Xian Jing Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣番路鄉 Fanlu Township, Chiayi County","范姵甯 FAN,PEI-NING",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon x Geisha,Pulped natural / honey,8.17,8.25,8.08,7.92,7.83,8.25,10.0,10.0,10.0,86.67,0,0.0,green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
26,Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8 kg,2024 / 2025,"August 26th, 2025",Phongsathorn Khunta,Mix,Washed / Wet,8.33,8.17,7.92,7.92,7.92,8.17,10.0,10.0,10.0,86.58,0,0.0,yello-green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
27,Taiwan,大鋤花間咖啡生態農場 （Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.0,8.17,8.08,8.08,7.83,8.08,10.0,10.0,10.0,86.58,0,0.0,greenish,1,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
28,Taiwan,向陽台灣咖啡 Sunlit Taiwan Coffee Farm,"2024 Sustainable Specialty Coffee Farm Awards,S086",向陽台灣咖啡 Sunlit Taiwan Coffee Farm,,Taiwan Coffee Laboratory,1000,"南投縣國姓鄉 Guoxing Township, Nantou County","林言謙 LIN, YEN-CHIEN",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.08,8.17,8.0,8.08,7.92,8.08,10.0,10.0,10.0,86.5,0,0.0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
29,Ethiopia,Moredocofe S.C,005,Moredocofe Huling facility,010/0184/0016,Moredocofe S.C,1900,Oromia,Moredocofe S.c,100,6000 kg,2024 / 2025,"May 8th, 2025",Moredocofe S.C,Ethiopian Heirlooms,Natural / Dry,7.92,8.17,8.08,8.25,7.92,8.08,10.0,10.0,10.0,86.5,0,5.0,yellow green,4,"May 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
30,Ethiopia,Hama Kebele small holder farmer,233,Dancho Mukere PLC Hama Washing station,010/0030/0233,Mullege PLC,1950-2100,Ethiopia,Fermentation process,320,60 kg,2024 / 2025,"May 6th, 2025",Mullege PLC,Ethiopian Yirgacheffe,Washed / Wet,8.0,7.92,8.08,8.17,8.17,8.08,10.0,10.0,10.0,86.5,0,0.0,greenish,3,"May 6th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
31,Taiwan,COFEE BERRIES MANOR,C201,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.0,8.08,8.0,8.08,8.0,8.08,10.0,10.0,10.0,86.42,0,0.0,greenish,4,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
32,Colombia,,3-1832-11038,TRILLADORA ANDES - SUCDEN SERVICIOS,1832,SUCDEN COLOMBIA SAS,1400-2200,HUILA,SEVERAL,600,30 kg,2024 / 2025,"November 23rd, 2024",Nataly Marcela Cujia Sierra,CASTILLO-CATURRA-COLOMBIA,WASHED,8.08,8.08,7.92,7.92,8.0,8.5,10.0,10.0,10.0,86.42,0,0.0,green,2,"November 23rd, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
33,Ethiopia,Eyasu Abraham,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,010/1269/0066,Taiwan Coffee Laboratory,2100-2200,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,320,60 kg,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Heirloom,Washed / Wet,8.17,8.17,8.0,7.92,7.92,8.08,10.0,10.0,10.0,86.42,0,0.0,green,1,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
34,Thailand,Doi Tung Development Project,DT2024/2025 Gayo Fermented Natural Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Chiang Rai, Thailand",Doi Tung Development Project,1,30 kg,2024 / 2025,"August 26th, 2025",Tanawit Thirintong,Gayo,Fermented Natural,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,86.42,0,0.0,bluish-green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
35,Taiwan,名陽園 MINGYANG,"2024 Sustainable Specialty Coffee Farm Awards,S031",名陽園 MINGYANG,,Taiwan Coffee Laboratory,1500,"嘉義縣 竹崎鄉 Zhuqi Township, Chiayi County","王政淵 WANG, CHENG-YUAN",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.08,8.08,8.0,8.0,8.0,8.08,10.0,10.0,10.0,86.33,0,0.0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
36,Vietnam,Công ty TNHH MTV Rẫy Rừng,A333,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1 kg,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,Typica,Pulped natural / honey,8.17,7.92,8.08,8.17,8.08,7.83,10.0,10.0,10.0,86.33,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
37,Taiwan,何留咖啡Hiu Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,何留咖啡Hiu Coffee Manor,,Taiwan Coffee Laboratory,650,"Wanrong Township, Hualien County","林金光LIN,JIN-GUANG",1,6 kg,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Anaerobic Washed Process,8.0,8.25,7.92,8.08,8.0,8.0,10.0,10.0,10.0,86.33,0,0.0,greenish,0,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
38,Vietnam,Kra Jan Ha Djim,A444,Kra Jan Ha Djim,,,1500,"Lạc Dương, Lâm Đồng",Kra Jan Ha Djim,100,1 kg,2024 / 2025,"July 9th, 2025",Kra Jan Ha Djim,Yellow Bourbon,Pulped natural / honey,8.08,8.25,8.0,8.08,8.08,8.08,10.0,10.0,10.0,86.33,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
39,Colombia,N / A,3-0068-00878,Trilladora Popayán,3-0068-00878,ECOM COLOMBIA,1700,Cauca,Regional producers,200,70 kg,2024 / 2025,"April 30th, 2025",Raúl Vargas,Caturra,Washed / Wet,8.0,7.83,8.0,8.0,8.08,8.33,10.0,10.0,10.0,86.33,4,1.0,green,6,"April 30th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
40,Vietnam,ThyThy Farm,A555,ThyThy Farm,,cong ty tnhh ca phe sach intenso,1550,"Trạm Hành, Cầu Đất, Lâm Đồng",Lê Huyền Ngọc Thy,200,1 kg,2024 / 2025,"July 9th, 2025",Ta tuan anh,Catimor,Natural / Dry,8.0,8.17,8.0,8.08,7.83,8.08,10.0,10.0,10.0,86.25,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
41,Thailand,Doi Tung Development Project,Typica Honey Process: ICP Rank 1 (2024),Doi Tung Development Project,,Mae Fah Luang Foundation/ Doi Tung Development Project,1200,"Mae Fah Luang, Chiang Rai",Tanawith Thirintong,1,10 kg,2023 / 2024,"October 29th, 2024",Sitthinadda Paphavasit,Typica,Pulped natural / honey,8.17,8.17,8.0,8.0,7.67,8.08,10.0,10.0,10.0,86.25,0,2.0,green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
42,Taiwan,如璽有機咖啡莊園,"2024 Sustainable Specialty Coffee Farm Awards,S051",如璽有機咖啡莊園,,Taiwan Coffee Laboratory,1050,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","張永璽 CHANG,YUNG-HIS",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Natural / Dry,8.25,8.17,8.08,8.0,7.83,7.92,10.0,10.0,10.0,86.25,0,0.0,brown,1,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
43,Thailand,LISUMI Coffee Farm,LSMDB-2501,LISUMI Plantation,,Lisumi Coffee Farm,1300,Chiangrai,Mt Lisumi Coffee Farm,1,8 kg,2024 / 2025,"August 26th, 2025",Theerachart Satittampana,Progeny88 (Hybrid of Caturra X HDT-CIFC1343),Natural / Dry,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,86.25,0,0.0,bluish-green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
44,Vietnam,Công ty TNHH Minudo Farm - Care,A405,Công ty TNHH Minudo Farm - Care,,,1200,Đắk Lắk,Lê Đình Tư,2500,1 kg,2024 / 2025,"July 9th, 2025",Aeroco coffee,THA1,Natural / Dry,8.17,8.08,7.92,8.0,8.0,7.92,10.0,10.0,10.0,86.17,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
